PLAYER,2019/20 ,2019/20(*)
Alfonzo McKinnie,"$2,391,985 ","$2,849,252 "
Grant Williams,"$2,379,840 ","$2,834,786 "
Jarrett Allen,"$2,376,840 ","$2,831,212 "
Pascal Siakam,"$2,351,838 ","$2,801,430 "
Skal Labissiere,"$2,338,846 ","$2,785,955 "
Chandler Hutchison,"$2,332,320 ","$2,778,181 "
Patrick Patterson,"$2,331,593 ","$2,777,315 "
Dejounte Murray,"$2,321,735 ","$2,765,573 "
Alec Burks,"$2,320,044 ","$2,763,559 "
Damian Jones,"$2,305,057 ","$2,745,707 "
Darius Bazley,"$2,284,800 ","$2,721,577 "
OG Anunoby,"$2,281,800 ","$2,718,004 "
Ante Zizic,"$2,281,800 ","$2,718,004 "
Markieff Morris,"$2,259,887 ","$2,691,902 "
Luke Kornet,"$2,250,000 ","$2,680,124 "
Aaron Holiday,"$2,239,200 ","$2,667,260 "
Ty Jerome,"$2,193,480 ","$2,612,800 "
Willie Cauley-Stein,"$2,177,483 ","$2,593,745 "
Kyle O'Quinn,"$2,174,318 ","$2,589,975 "
Austin Rivers,"$2,174,310 ","$2,589,965 "
Carmelo Anthony,"$2,159,029 ","$2,571,763 "
Anfernee Simons,"$2,149,560 ","$2,560,484 "
Nassir Little,"$2,105,520 ","$2,508,025 "
Moritz Wagner,"$2,063,520 ","$2,457,996 "
Dylan Windler,"$2,035,800 ","$2,424,977 "
Caleb Swanigan,"$2,033,160 ","$2,421,832 "
Michael Carter-Williams,"$2,028,594 ","$2,416,393 "
Mike Muscala,"$2,028,594 ","$2,416,393 "
Ben McLemore,"$2,028,594 ","$2,416,393 "
Edmond Sumner,"$2,000,000 ","$2,382,333 "
Torrey Craig,"$2,000,000 ","$2,382,333 "
Noah Vonleh,"$2,000,000 ","$2,382,333 "
Landry Shamet,"$1,995,120 ","$2,376,520 "
Mfiondu Kabengele,"$1,977,000 ","$2,354,936 "
Kyle Kuzma,"$1,974,600 ","$2,352,077 "
Jordan Poole,"$1,964,760 ","$2,340,356 "
Tony Bradley,"$1,962,360 ","$2,337,497 "
Keldon Johnson,"$1,950,600 ","$2,323,489 "
Derrick White,"$1,948,080 ","$2,320,487 "
Robert Williams,"$1,937,520 ","$2,307,909 "
Josh Hart,"$1,934,160 ","$2,303,906 "
Jacob Evans,"$1,925,880 ","$2,294,044 "
Dzanan Musa,"$1,911,600 ","$2,277,034 "
Omari Spellman,"$1,897,800 ","$2,260,596 "
Glenn Robinson III,"$1,882,867 ","$2,242,808 "
James Ennis,"$1,882,867 ","$2,242,808 "
Nerlens Noel,"$1,882,867 ","$2,242,808 "
Shabazz Napier,"$1,845,301 ","$2,198,061 "
Bruno Caboclo,"$1,845,301 ","$2,198,061 "
JR Smith,"$1,746,470 ","$2,080,336 "
Emmanuel Mudiay,"$1,737,145 ","$2,069,229 "
Mario Hezonja,"$1,737,145 ","$2,069,229 "
Raul Neto,"$1,737,145 ","$2,069,229 "
JaKarr Sampson,"$1,737,145 ","$2,069,229 "
Pat Connaughton,"$1,723,050 ","$2,052,439 "
Jahlil Okafor,"$1,702,486 ","$2,027,944 "
Rodions Kurucs,"$1,699,236 ","$2,024,073 "
Cheick Diallo,"$1,678,854 ","$1,999,794 "
Willy Hernangomez,"$1,676,735 ","$1,997,270 "
Georges Niang,"$1,645,357 ","$1,959,894 "
Derrick Jones,"$1,645,357 ","$1,959,894 "
Christian Wood,"$1,645,357 ","$1,959,894 "
Treveon Graham,"$1,645,357 ","$1,959,894 "
Furkan Korkmaz,"$1,620,564 ","$1,930,361 "
Shaquille Harrison,"$1,620,564 ","$1,930,361 "
Royce O'Neale,"$1,618,520 ","$1,927,927 "
Wesley Iwundu,"$1,618,520 ","$1,927,927 "
Abdel Nader,"$1,618,520 ","$1,927,927 "
Damyean Dotson,"$1,618,520 ","$1,927,927 "
Frank Jackson,"$1,618,520 ","$1,927,927 "
Sterling Brown,"$1,618,520 ","$1,927,927 "
Dillon Brooks,"$1,618,520 ","$1,927,927 "
Dwayne Bacon,"$1,618,520 ","$1,927,927 "
Semi Ojeleye,"$1,618,520 ","$1,927,927 "
Chris Boucher,"$1,588,231 ","$1,891,847 "
Malcolm Miller,"$1,588,231 ","$1,891,847 "
Monte Morris,"$1,588,231 ","$1,891,847 "
Mitchell Robinson,"$1,559,712 ","$1,857,876 "
Nigel Williams-Goss,"$1,500,000 ","$1,786,749 "
Isaiah Roby,"$1,500,000 ","$1,786,749 "
Wenyen Gabriel,"$1,445,697 ","$1,722,066 "
Shake Milton,"$1,445,697 ","$1,722,066 "
Theo Pinson,"$1,445,697 ","$1,722,066 "
Thanasis Antetokounmpo,"$1,445,697 ","$1,722,066 "
Brad Wanamaker,"$1,445,697 ","$1,722,066 "
Isaac Bonga,"$1,416,852 ","$1,687,706 "
Chimezie Metu,"$1,416,852 ","$1,687,706 "
Gary Trent Jr,"$1,416,852 ","$1,687,706 "
Elie Okobo,"$1,416,852 ","$1,687,706 "
Jevon Carter,"$1,416,852 ","$1,687,706 "
Ryan Broekhoff,"$1,416,852 ","$1,687,706 "
Melvin Frazier,"$1,416,852 ","$1,687,706 "
Deonte Burton,"$1,416,852 ","$1,687,706 "
Hamidou Diallo,"$1,416,852 ","$1,687,706 "
Kenrich Williams,"$1,416,852 ","$1,687,706 "
Jarred Vanderbilt,"$1,416,852 ","$1,687,706 "
Duncan Robinson,"$1,416,852 ","$1,687,706 "
Kendrick Nunn,"$1,416,852 ","$1,687,706 "
De'Anthony Melton,"$1,416,852 ","$1,687,706 "
Alize Johnson,"$1,416,852 ","$1,687,706 "
Bruce Brown,"$1,416,852 ","$1,687,706 "
Khyri Thomas,"$1,416,852 ","$1,687,706 "
Sviatoslav Mykhailiuk,"$1,416,852 ","$1,687,706 "
Keita Bates-Diop,"$1,416,852 ","$1,687,706 "
Jalen Brunson,"$1,416,852 ","$1,687,706 "
Devonte Graham,"$1,416,852 ","$1,687,706 "
Jaylen Nowell,"$1,400,000 ","$1,667,633 "
Bruno Fernando,"$1,400,000 ","$1,667,633 "
Kevin Porter,"$1,290,960 ","$1,537,748 "
Jordan McRae,"$1,254,933 ","$1,494,834 "
Carsen Edwards,"$1,228,026 ","$1,462,783 "
Cody Martin,"$1,173,310 ","$1,397,607 "
Gary Payton II,"$1,052,909 ","$1,254,190 "
Admiral Schofield,"$1,000,000 ","$1,191,166 "
Terance Mann,"$1,000,000 ","$1,191,166 "
David Nwaba,"$903,111 ","$1,075,755 "
Miye Oni,"$898,310 ","$1,070,036 "
Dewan Hernandez,"$898,310 ","$1,070,036 "
Terence Davis,"$898,310 ","$1,070,036 "
Matt Thomas,"$898,310 ","$1,070,036 "
Justin James,"$898,310 ","$1,070,036 "
DaQuan Jeffries,"$898,310 ","$1,070,036 "
Jalen Lecque,"$898,310 ","$1,070,036 "
Ignas Brazdeikis,"$898,310 ","$1,070,036 "
Naz Reid,"$898,310 ","$1,070,036 "
KZ Okpala,"$898,310 ","$1,070,036 "
Talen Horton-Tucker,"$898,310 ","$1,070,036 "
Eric Paschall,"$898,310 ","$1,070,036 "
Alen Smailagic,"$898,310 ","$1,070,036 "
Vlatko Cancar,"$898,310 ","$1,070,036 "
Daniel Gafford,"$898,310 ","$1,070,036 "
Caleb Martin,"$898,310 ","$1,070,036 "
Jalen McDaniels,"$898,310 ","$1,070,036 "
Nicolas Claxton,"$898,310 ","$1,070,036 "
Javonte Green,"$898,310 ","$1,070,036 "
Damion Lee,"$842,327 ","$1,003,351 "
Jeff Green,"$840,427 ","$1,001,088 "
Timothe Luwawu,"$837,583 ","$997,700 "
Juwan Morgan,"$746,054 ","$888,674 "
Gary Clark,"$718,765 ","$856,168 "
Marvin Williams,"$604,278 ","$719,795 "
Michael Kidd-Gilchrist,"$595,122 ","$708,889 "
Rayjon Tucker,"$578,573 ","$689,176 "
Chris Clemons,"$563,346 ","$671,038 "
Brandon Goodwin,"$522,738 ","$622,668 "
Reggie Jackson,"$512,721 ","$610,736 "
Justin Patton,"$483,115 ","$575,470 "
Anzejs Pasecniks,"$482,144 ","$574,313 "
Chris Silva,"$466,918 ","$556,177 "
Troy Daniels,"$458,439 ","$546,077 "
Anthony Tolliver,"$434,704 ","$517,804 "
Joakim Noah,"$381,360 ","$454,263 "
